# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	1531
#@/user_id	d379290b-ffe7-4db1-8ec0-ecbfd66e25eb
a 	啊	c=3 d=1.69003 t=1531
gen sui 	跟隨	c=1 d=0.522046 t=1531
geng 	更	c=3 d=2.3653 t=1531
geng jia 	更加	c=2 d=1.33853 t=1531
gong ke 	功課	c=1 d=0.99005 t=1531
gong tong 	共同	c=2 d=1.01301 t=1531
gong yi 	公義	c=1 d=0.856415 t=1531
gu jiu 	古舊	c=2 d=1.94099 t=1531
guan cha 	觀察	c=1 d=0.822835 t=1531
guan xi 	關係	c=2 d=1.43765 t=1531
gui 	歸	c=1 d=1 t=1531
gui 	貴	c=2 d=1.58673 t=1531
gui yu 	歸於	c=1 d=0.99005 t=1531
ha ha ha ha 	哈哈哈哈	c=1 d=0.562705 t=1531
hai 	還	c=1 d=0.891366 t=1531
hai pa 	害怕	c=2 d=1.74518 t=1531
hai you 	還有	c=1 d=0.878095 t=1531
hao 	好	c=4 d=1.82338 t=1531
hao de 	好的	c=1 d=0.763379 t=1531
he 	和	c=10 d=4.06804 t=1531
he deng 	何等	c=7 d=5.50608 t=1531
he neng 	何能	c=1 d=0.960789 t=1531
hen 	很	c=2 d=1.2915 t=1531
hen 	恨	c=2 d=1.37501 t=1531
hen duo 	很多	c=1 d=0.718924 t=1531
hen jiu 	很久	c=1 d=0.839457 t=1531
hen nan 	很難	c=1 d=0.771052 t=1531
hou wei 	後衛	c=1 d=0.985112 t=1531
hu 	呼	c=1 d=0.985112 t=1531
hua 	話	c=3 d=1.87798 t=1531
hua yu 	話語	c=1 d=0.600496 t=1531
hui 	回	c=1 d=0.802519 t=1531
hui 	會	c=6 d=2.35294 t=1531
hui bang 	毀謗	c=1 d=0.57695 t=1531
hui da 	回答	c=1 d=0.522046 t=1531
hun yin 	婚姻	c=5 d=2.57097 t=1531
huo 	或	c=5 d=2.79143 t=1531
huo 	活	c=6 d=3.79225 t=1531
huo chu 	活出	c=3 d=2.42997 t=1531
ji 	記	c=1 d=0.818731 t=1531
ji du 	基督	c=6 d=3.24208 t=1531
ji du tu 	基督徒	c=12 d=5.82825 t=1531
ji ge 	幾個	c=1 d=0.97531 t=1531
ji rou 	肌肉	c=1 d=0.810584 t=1531
jia 	家	c=3 d=1.7215 t=1531
jia 	架	c=2 d=1.89942 t=1531
jia ting 	家庭	c=1 d=0.873716 t=1531
jian dan 	簡單	c=1 d=0.814647 t=1531
jiang 	將	c=1 d=0.878095 t=1531
jiang li 	獎勵	c=1 d=0.694197 t=1531
jiao 	交	c=1 d=0.66365 t=1531
jiao 	叫	c=3 d=1.73718 t=1531
jiao liu 	交流	c=1 d=0.941765 t=1531
jiao ni 	教你	c=1 d=0.774916 t=1531
jiao zhang 	交賬	c=1 d=1 t=1531
jie 	節	c=7 d=5.30738 t=1531
jie jue 	解決	c=4 d=3.12789 t=1531
jie lun 	結論	c=1 d=0.559898 t=1531
jie mei 	姐妹	c=2 d=1.17318 t=1531
jie shi 	解釋	c=2 d=1.5615 t=1531
jie shou 	接受	c=4 d=2.90385 t=1531
jin qing 	盡情	c=1 d=0.99005 t=1531
jing 	經	c=3 d=1.93489 t=1531
jing bai 	敬拜	c=1 d=0.965605 t=1531
jing li 	經歷	c=1 d=0.839457 t=1531
jing wen 	經文	c=1 d=0.794534 t=1531
jiu 	就	c=2 d=1.72358 t=1531
jiu en 	救恩	c=1 d=0.932394 t=1531
jiu neng 	就能	c=1 d=0.895834 t=1531
jiu shi 	就是	c=2 d=1.4996 t=1531
jiu shu 	救贖	c=3 d=2.29596 t=1531
jiu zhu 	救主	c=4 d=3.51088 t=1531
ju jue 	拒絕	c=1 d=0.941765 t=1531
ju pa 	懼怕	c=1 d=0.618783 t=1531
jue de 	覺得	c=3 d=2.02634 t=1531
jun wang 	君王	c=1 d=0.687289 t=1531
jun zhuang 	軍裝	c=1 d=0.831104 t=1531
kan 	看	c=4 d=3.5274 t=1531
kan dai 	看待	c=1 d=0.980199 t=1531
kan fa 	看法	c=2 d=1.56495 t=1531
kao 	靠	c=5 d=3.89152 t=1531
ke 	可	c=0 d=0.0995012 t=1531
ke neng 	可能	c=3 d=2.17172 t=1531
ke shi 	可是	c=2 d=1.72767 t=1531
ke yi 	可以	c=9 d=4.44763 t=1531
ke zan xu 	可讚許	c=1 d=1 t=1531
ku 	庫	c=1 d=1 t=1531
ku nan 	苦難	c=3 d=2.50886 t=1531
la 	拉	c=2 d=1.17942 t=1531
lai 	來	c=4 d=2.65959 t=1531
lai bu ji 	來不及	c=1 d=0.479505 t=1531
le 	了	c=11 d=4.97178 t=1531
li 	裏	c=1 d=0.970446 t=1531
li jie 	理解	c=3 d=2.68086 t=1531
li ke 	立刻	c=1 d=0.509156 t=1531
li xiang 	理想	c=3 d=1.73371 t=1531
lia 	倆	c=1 d=1 t=1531
lian 	鍊	c=1 d=1 t=1531
liao jie 	了解	c=2 d=1.66894 t=1531
lie ren 	獵人	c=1 d=1 t=1531
ling 	另	c=1 d=0.729789 t=1531
ling 	靈	c=1 d=1 t=1531
luo ma 	羅馬	c=1 d=0.970446 t=1531
ma 	嗎	c=8 d=4.32719 t=1531
ma tai fu yin 	馬太福音	c=1 d=0.937067 t=1531
mang 	忙	c=1 d=0.99005 t=1531
mei 	沒	c=1 d=0.514274 t=1531
mei 	美	c=2 d=1.43397 t=1531
mei li 	美麗	c=1 d=0.771052 t=1531
mei yi tian 	每一天	c=1 d=0.904837 t=1531
mei you 	沒有	c=4 d=2.81378 t=1531
men 	們	c=15 d=8.06188 t=1531
men tu 	門徒	c=1 d=0.873716 t=1531
min 	民	c=2 d=1.83795 t=1531
ming 	命	c=2 d=1.61127 t=1531
ming bai 	明白	c=1 d=0.763379 t=1531
ming ling 	命令	c=6 d=3.12924 t=1531
mo ren 	默認	c=0 d=0.0831104 t=1531
nan 	難	c=2 d=1.11991 t=1531
nan dao 	難道	c=1 d=0.99005 t=1531
ne 	呢	c=3 d=2.25232 t=1531
neng 	能	c=8 d=4.56924 t=1531
neng gou 	能夠	c=1 d=0.818731 t=1531
neng li 	能力	c=1 d=0.937067 t=1531
ni 	你	c=25 d=13.0559 t=1531
ni 	禰	c=1 d=0.985112 t=1531
ni de 	你的	c=1 d=0.985112 t=1531
ni dui yu 	你對於	c=1 d=0.941765 t=1531
ni hai pa 	你害怕	c=1 d=0.99005 t=1531
ni shi 	你是	c=2 d=1.86144 t=1531
ni you 	你有	c=1 d=0.798516 t=1531
nian 	年	c=1 d=0.852144 t=1531
nv er 	女兒	c=1 d=0.937067 t=1531
nv sheng 	女生	c=2 d=1.50915 t=1531
nv xing 	女性	c=2 d=1.78674 t=1531
pei xun 	培訓	c=1 d=0.67368 t=1531
pin xing 	品行	c=6 d=4.32906 t=1531
ping 	平	c=1 d=0.923116 t=1531
ping deng 	平等	c=1 d=0.980199 t=1531
ping ju 	憑據	c=1 d=0.67368 t=1531
po sui 	破碎	c=1 d=0.722527 t=1531
pu ren 	僕人	c=2 d=0.869633 t=1531
qi 	起	c=2 d=1.5283 t=1531
qi fu 	欺負	c=1 d=0.951229 t=1531
qi shi lu 	啓示錄	c=3 d=2.38038 t=1531
qi ya 	欺壓	c=3 d=1.97854 t=1531
qi zi 	妻子	c=19 d=8.00111 t=1531
qian bei 	謙卑	c=2 d=1.95581 t=1531
qiang 	強	c=1 d=0.740818 t=1531
qin yan 	親眼	c=1 d=1 t=1531
qing 	晴	c=1 d=0.995012 t=1531
qing 	請	c=1 d=0.995012 t=1531
qing li 	情理	c=2 d=1.49725 t=1531
qing xu 	情緒	c=2 d=1.56233 t=1531
qu 	去	c=2 d=1.41389 t=1531
quan 	全	c=2 d=1.68754 t=1531
que 	卻	c=3 d=2.4286 t=1531
que 	缺	c=1 d=0.941765 t=1531
qun 	羣	c=1 d=0.941765 t=1531
ran 	然	c=1 d=0.509156 t=1531
ren 	人	c=12 d=5.13171 t=1531
