# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	1531
#@/user_id	d379290b-ffe7-4db1-8ec0-ecbfd66e25eb
a 	啊	c=3 d=1.69003 t=1531
zhu fu 	祝福	c=4 d=1.99316 t=1531
zhu ren 	主人	c=2 d=0.880025 t=1531
zi 	字	c=2 d=1.19998 t=1531
zi ji 	自己	c=4 d=1.75892 t=1531
zi liao 	資料	c=2 d=1.29792 t=1531
zi min 	子民	c=4 d=2.89152 t=1531
zi you 	自由	c=1 d=0.965605 t=1531
zu yuan 	組員	c=2 d=1.47715 t=1531
zu zhang 	組長	c=2 d=1.44125 t=1531
zui 	最	c=1 d=0.97531 t=1531
zun zhong 	尊重	c=2 d=1.70017 t=1531
zuo 	作	c=2 d=1.64575 t=1531
zuo 	做	c=11 d=4.27662 t=1531
zuo le 	做了	c=1 d=0.782705 t=1531
zuo wei 	作爲	c=6 d=3.31574 t=1531
